daily_views_yesterday,channel_title,description,title,all_views,dislikes,published_at,category_id,has_yesterday,channel_id,comment_count,href,likes,created_date,daily_views_today,_id,id,favorite_count,update_video_data
10000.0,,,[Cita Citata] Sakitnya Tuh Disini - Nathan Fingerstyle Solo Guitar (Gitar Cover),,,,,,,,https://www.youtube.com/watch?v=9V2boFtjpHE,,2016-05-18 10:27:46.583000,,573c045a48ff165ea180b999,9V2boFtjpHE,,2016-06-05 04:31:00
10000.0,,,"Cewek Cantik Main Gitar ""ONE MORE NIGHT"" Maroon 5 (Annie Rose)",,,,,,,,https://www.youtube.com/watch?v=Q_6m-CtGlq4,,2016-05-18 10:27:46.583000,,573c045a48ff165ea180b99a,Q_6m-CtGlq4,,2016-06-05 04:31:00
10000.0,,,Gadis Cantik Berjilbab Main Gitar Dan Nyanyi Suaranya Merdu Sekali,,,,,,,,https://www.youtube.com/watch?v=a1cfF7OtV0c,,2016-05-18 10:27:46.583000,,573c045a48ff165ea180b99b,a1cfF7OtV0c,,2016-06-05 04:31:00
10000.0,,,Ya Ya Ya Ya - Ceylin & Kubilay (Hande Yener) / Cover Akustik Yorum Gitar Yeni Amatör yayaya,,,,,,,,https://www.youtube.com/watch?v=YZ78SpiKmlo,,2016-05-18 10:27:46.584000,,573c045a48ff165ea180b99d,YZ78SpiKmlo,,2016-06-05 04:31:00
10000.0,,,(Cita Citata) Goyang Dumang - Nathan Fingerstyle Cover,,,,,,,,https://www.youtube.com/watch?v=wSJmcsOQyEU,,2016-05-18 10:27:46.585000,,573c045a48ff165ea180b99e,wSJmcsOQyEU,,2016-06-05 04:31:00
10000.0,,,3 dakikada gitar calmak (4 akorla sekil yapmak) - Tamer Özsevim (HD),,,,,,,,https://www.youtube.com/watch?v=bLlZHDr9gsg,,2016-05-18 10:27:46.585000,,573c045a48ff165ea180b99f,bLlZHDr9gsg,,2016-06-05 04:31:00
10000.0,,,Kış Masalı - Ceylin & Kubilay Çalcalı (Adem Gümüşkaya) / Akustik Gitar Yeni Cover 2014 Kis Masali,,,,,,,,https://www.youtube.com/watch?v=gSvoKRNuxXg,,2016-05-18 10:27:46.585000,,573c045a48ff165ea180b9a0,gSvoKRNuxXg,,2016-06-05 04:31:00
10000.0,,,(Superman Is Dead) Sunset Di Tanah Anarki - Lia Gulla Madu & Nathan Fingerstyle,,,,,,,,https://www.youtube.com/watch?v=rRspQwQRGEs,,2016-05-18 10:27:46.586000,,573c045a48ff165ea180b9a1,rRspQwQRGEs,,2016-06-05 04:31:00
10000.0,,,Nenek-Nenek Main Gitar Dan Nyanyi Suaranya Luar Biasa Sangat Merdu,,,,,,,,https://www.youtube.com/watch?v=xEodYXY4QeU,,2016-05-18 10:27:46.586000,,573c045a48ff165ea180b9a3,xEodYXY4QeU,,2016-06-05 04:31:00
10000.0,,,Samjhawan Unplugged | Humpty Sharma Ki Dulhania | Singer: Alia Bhatt,,,,,,,,https://www.youtube.com/watch?v=EoCz3Vx1pXg,,2016-05-18 10:27:50.512000,,573c045e48ff165ea180b9a5,EoCz3Vx1pXg,,2016-06-05 04:31:00
10000.0,,,Whitney Houston - I Have Nothing by Jack Vidgen singing on Australia's Got Talent [480p],,,,,,,,https://www.youtube.com/watch?v=KaGq_8Ilyy0,,2016-05-18 10:27:50.513000,,573c045e48ff165ea180b9a6,KaGq_8Ilyy0,,2016-06-05 04:31:00
10000.0,,,Greyson Chance Singing Paparazzi,,,,,,,,https://www.youtube.com/watch?v=bxDlC7YV5is,,2016-05-18 10:27:50.514000,,573c045e48ff165ea180b9a7,bxDlC7YV5is,,2016-06-05 04:31:00
10000.0,,,Judges Lack Confidence in This Shy 14 Year Old   Until She Starts Singing!,,,,,,,,https://www.youtube.com/watch?v=uxXc0cqDyuw,,2016-05-18 10:27:50.514000,,573c045e48ff165ea180b9a8,uxXc0cqDyuw,,2016-06-05 04:31:00
10000.0,,,Simon Cowell Made Fun of This Gospel Singer - Then Everyone is Blown Away,,,,,,,,https://www.youtube.com/watch?v=h_Z0mlwcfD8,,2016-05-18 10:27:50.514000,,573c045e48ff165ea180b9a9,h_Z0mlwcfD8,,2016-06-05 04:31:00
10000.0,,,Alice Fredenham singing 'My Funny Valentine' - Week 1 Auditions | Britain's Got Talent 2013,,,,,,,,https://www.youtube.com/watch?v=IChJ6eO3k48,,2016-05-18 10:27:50.515000,,573c045e48ff165ea180b9aa,IChJ6eO3k48,,2016-06-05 04:31:00
10000.0,,,Top 10 Best auditions Britain's got talent 2015 (part 1),,,,,,,,https://www.youtube.com/watch?v=qjGyc_X4cNg,,2016-05-18 10:27:50.516000,,573c045e48ff165ea180b9ac,qjGyc_X4cNg,,2016-06-05 04:31:00
10000.0,,,Random Girl in the mall blows everyone away at the karaokemachine singing Whitney Houston,,,,,,,,https://www.youtube.com/watch?v=0VBbErzAYQw,,2016-05-18 10:27:50.517000,,573c045e48ff165ea180b9ae,0VBbErzAYQw,,2016-06-05 04:31:00
10000.0,,,Soul singer Louisa Johnson covers Who’s Loving You | Auditions Week 1 | The X Factor UK 2015,,,,,,,,https://www.youtube.com/watch?v=2KEQ7q-32R0,,2016-05-18 10:27:50.517000,,573c045e48ff165ea180b9b0,2KEQ7q-32R0,,2016-06-05 04:31:00
10000.0,,,Aliki singing 'Wake Me Up' | Week 6 Auditions | Britain's Got Talent 2013,,,,,,,,https://www.youtube.com/watch?v=lilp0hy5obo,,2016-05-18 10:27:50.518000,,573c045e48ff165ea180b9b2,lilp0hy5obo,,2016-06-05 04:31:00
10000.0,,,The Next Susan Boyle??-Jamie Pugh - Singer - Britains Got Talent 2009 Ep 4 (Full Version),,,,,,,,https://www.youtube.com/watch?v=uygzBO29GR8,,2016-05-18 10:27:50.518000,,573c045e48ff165ea180b9b3,uygzBO29GR8,,2016-06-05 04:31:00
10000.0,,,Janey Cutler - Britain's Got Talent 2010 - Auditions Week 4,,,,,,,,https://www.youtube.com/watch?v=JAwOZvvGsRs,,2016-05-18 10:27:50.519000,,573c045e48ff165ea180b9b4,JAwOZvvGsRs,,2016-06-05 04:31:00
10000.0,,,America's Got Talent - Kaitlyn Maher - Youngest Singer I have ever seen,,,,,,,,https://www.youtube.com/watch?v=Ita_Cz0yxNM,,2016-05-18 10:27:50.519000,,573c045e48ff165ea180b9b5,Ita_Cz0yxNM,,2016-06-05 04:31:00
10000.0,,,Mark Ronson - Uptown Funk ft. Bruno Mars,,,,,,,,https://www.youtube.com/watch?v=OPf0YbXqDm0,,2016-05-18 10:27:53.310000,,573c046148ff165ea180b9b8,OPf0YbXqDm0,,2016-06-05 04:31:00
